TOT_POP,ICU Beds_x,Population Aged 60+,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_number,Heart disease_prevalence,COPD_prevalence,COPD_number,diabetes_number,CKD_number,y
57686.0,4.0,9951.0,45.6,19641.0,35.8,15404.0,7.3,9.1,3918.0,4652.0,1217.0,3125
9608.0,0.0,2388.0,55.4,4184.0,42.1,3181.0,9.6,11.4,862.0,1167.0,289.0,727
321128.0,69.0,87591.0,47.1,121516.0,33.8,87148.0,9.7,10.1,26088.0,38342.0,10065.0,24957
10980.0,0.0,2839.0,44.2,3663.0,35.0,2904.0,8.3,7.0,578.0,990.0,285.0,691
30650.0,10.0,9967.0,53.2,13283.0,38.4,9588.0,10.7,11.1,2780.0,4236.0,1107.0,2663
21627.0,0.0,4027.0,41.2,6484.0,30.5,4795.0,7.1,7.1,1121.0,1926.0,537.0,1111
28715.0,0.0,5153.0,49.6,11055.0,38.1,8492.0,8.2,10.1,2260.0,2867.0,656.0,1828
52516.0,0.0,14012.0,49.6,20706.0,36.7,15335.0,9.5,11.0,4590.0,5404.0,1473.0,3973
51056.0,0.0,10113.0,40.9,15694.0,35.9,13785.0,5.9,5.7,2177.0,3408.0,971.0,2285
32201.0,8.0,7355.0,47.2,11737.0,34.2,8501.0,8.4,9.9,2456.0,2940.0,796.0,2086
167207.0,20.0,37939.0,34.2,44759.0,22.8,29836.0,6.4,5.4,7107.0,13553.0,3947.0,8376
167529.0,32.0,39318.0,44.7,58109.0,33.0,42869.0,7.2,7.0,9073.0,14975.0,4477.0,9333
33363.0,5.0,7783.0,44.1,10869.0,36.3,8954.0,6.8,6.5,1607.0,2584.0,716.0,1683
175769.0,38.0,36737.0,42.8,57814.0,33.8,45642.0,7.5,8.7,11789.0,15579.0,3938.0,10162
36354.0,5.0,9352.0,52.9,14733.0,39.9,11116.0,9.6,9.4,2615.0,4050.0,1032.0,2662
448273.0,60.0,99386.0,39.5,137789.0,29.8,104077.0,7.2,7.9,27440.0,39033.0,10353.0,25143
69524.0,8.0,21116.0,49.3,28232.0,33.7,19315.0,9.3,9.1,5241.0,7674.0,2009.0,5341
15761.0,0.0,4425.0,47.1,5714.0,37.8,4582.0,8.7,8.3,1001.0,1454.0,418.0,1058
1481093.0,281.0,326104.0,38.2,445735.0,29.0,338741.0,6.4,6.6,76759.0,124634.0,31962.0,74849
368100.0,143.0,80015.0,41.2,117297.0,33.5,95439.0,6.8,7.1,20116.0,31720.0,8526.0,19454
37480.0,24.0,9809.0,48.4,13982.0,32.4,9359.0,10.1,10.6,3048.0,3742.0,1021.0,2904
119089.0,34.0,26739.0,49.2,45187.0,37.4,34378.0,8.7,9.7,8910.0,12583.0,3088.0,8042
15234.0,0.0,4827.0,45.6,5701.0,33.7,4213.0,8.8,10.3,1286.0,1694.0,423.0,1103
11127.0,0.0,2659.0,48.2,4006.0,36.1,2999.0,8.9,9.1,759.0,1046.0,272.0,741
172828.0,30.0,29727.0,37.1,50324.0,28.6,38808.0,5.5,6.1,8247.0,11180.0,3312.0,7429
6250.0,0.0,2017.0,40.8,2097.0,29.3,1507.0,9.9,10.3,527.0,656.0,193.0,509
65263.0,12.0,18721.0,48.5,25573.0,37.1,19571.0,8.8,9.5,5030.0,6934.0,1789.0,4646
10212.0,0.0,2800.0,47.9,3857.0,34.6,2788.0,9.1,10.4,837.0,1011.0,268.0,732
5676.0,0.0,2170.0,47.2,2267.0,35.0,1680.0,10.4,9.1,436.0,640.0,195.0,501
